question,answer,intent
According to cephalo caudal gradient of growth axis of growth:,Decreases from head towards feet.,general_faq
Destruction of ovaries prior to 7th week following fertilization results in:,Pseudohermaphroditism,general_faq
All are about brucella except,B. abous is capnophilic,general_faq
Wide pulse pressure is seen in,Beri beri,general_faq
"All of the following could include the mechanism or function of oxigenases, EXCEPT:",Incorporate 2 atoms of oxygen,general_faq
Figure B shows:,Spinal tap needle,general_faq
'Endemic Disease' means that a disease:,Occurs clearly in excess of normal expectancy,general_faq
Early childhood caries or baby bottle tooth decay is usually seen in the age group of _____ month old child?,18-36,general_faq
"When a child is not able to perform the following motor functions such as skipping, walking on heels, hopping in place or going forwards in tandem gati, his motor development is considered to be below ?",3 years,general_faq
CD marker specific for myeloid series is:,CD34,general_faq
All of the following can be administered in acute highpeension during labour except,IV labetalol,general_faq
Facial nerve palsy can be caused by -,Cholesteatoma,general_faq
In Familial hypercholesterolemia there is deficiency of,LDL receptor,general_faq
True about primary peritonitis,Mostly monobacterial,general_faq
Plunging ranula refers to a mucocoele that has penetrated which muscle?,Sternohyoid,general_faq
"Risk factors for Placenta Accreta include all of the following, except:",Previous LSCS scar,general_faq
Most affernt fibers from the lateral geniculate nucleus terminate in the primary visual coex is:,Layer 1,general_faq
"Acute diffuse proliferative glomerulonephritis will have all of the following features, except ?",Microscopic haematuria,nutrition_advice
ORS plus Zinc,Reduces infection,general_faq
"A mother brought her 18 month boy to the pediatrician, with the complaint that her son did not have any teeth till now. All of the following can be the underlying causes EXCEPT:",Pierre Robin sequence,general_faq
Conduit in gastric pull up is based on:,Right gastric and right gastroepiploic artery,general_faq
Which of the following is false regarding neoplastic compressive myelopathy?,Most neoplasms are subdural in origin,general_faq
"All of the following are required more during lactation as compared to pregnancy, except ?",Iron,general_faq
Normal waist hip ratio of a female is below,0.7,general_faq
Food with maximum Cholesterol content -,Eggs,nutrition_advice
Which of the following drugs has spasmolytic activity and could also be used in the management of seizure caused by an overdose of a local anesthetic?,Baclofen,medicine_info
Most common cause of UTI in a neonate is,E.coli,general_faq
Delta waves are seen in:,Deep sleep,general_faq
"48 year old male reported with the chief complaint of ulcer on the gums and on general examination headache, fever and malaise was observed. On oral examination, sharply punched out crater-like erosions of the interdental papillae of sudden onset were noted. The patient also complained of bad breath.

Diagnosis is",ANUG,medicine_info
Elastic cartilage is present in-,Thyroid cartilage,general_faq
Damage to median nerv e produces -,Claw hand,general_faq
The most common histologic type of thyroid cancer is,Medullary type,general_faq
Which of the following disease is transmitted by phlebotomus argentipes -,Epidemic typhus,general_faq
Which of the following does not cause Insulin release-,Rosiglitazone,general_faq
"According to WHO, membranous glomerulonephritis seen in SLE, is -",Class II,general_faq
Which is not true regarding Bernard soulier syndrome?,Ristocetin aggregation is normal,general_faq
Lymphocytic colitis,Bloody diarrhea,general_faq
The following is true about prevalence and incidence:,Both are rates,general_faq
Not true about post-transcriptional modification of RNA-,5' Capping,general_faq
Orange-skin cornea results due to:,Chalcosis,general_faq
Exarticulation of teeth means:,Intrusion,general_faq
Which of these following is an example of a leading question?,How did you get cuts on T shi,general_faq
The given below instrument is used for:,For cutting ribs in spinal surgery,general_faq
Pilocarpine reduce the intraocular pressure in person with closed angle glaucoma by,Reducing aqueous humour secretion,general_faq
Congenital hepatic fibrosis is a characteristic feature of,Multicystic renal dysplasia,nutrition_advice
Oral contraceptive pills decrease incidence of all of the following conditions except :,Salpingitis,medicine_info
Safety valve mechanism is:,The anteroposterior increment in the maxilla at 14 years,general_faq
Severity of mitral stenosis is determined by :,Intensity of S1 hea sound,general_faq
Causes of biliary tract carcinoma after ingesting infected fish -,Grathostoma,general_faq
True regarding the development of ear:,Eustachian tube opens at the level of interior turbinate,general_faq
"All of the following are ocular symptom seen in Herpes ophthalmicus, EXCEPT:",Oculomotor nerve involvement,symptoms_diagnosis
Treatment of choice for annular pancrease is,Division of pancreas,nutrition_advice
Essential for tumour metastasis is ?,Angiogenesis,general_faq
D Tubocurarine acts by,Inhibiting nicotinic receptors at myoneural junction,general_faq
cove sensitization is used for,PTSD,general_faq
The interior of right atrium is partially divided into two parts by -,Crista terminalis,general_faq
What is choledocholithotomy,Removal of ureteric stone,general_faq
Which of the following Immunoglobulin acts as a receptor for antigens,IgG,general_faq
Which of the following causes a dead end infection?,C. tetani,general_faq
Compression of a nerve within the carpal tunnel products inability to,Abduct the thumb,general_faq
"In emergency tracheostomy all of the following structures are damaged, EXCEPT:",Isthmus of the thyroid,general_faq
Acute infection of hepatitis B virus is diagnosed by:,IgM antibody of Hbs Ag,symptoms_diagnosis
Investigation of choice for pericardial effusion is,MRI,general_faq
Commonest site of oesophagus - squamous cell carcinoma is,Upper 2/3,general_faq
Peripheral resistance is decreased in which type of shock -a) Hypovolemic shockb) Neurogenic shockc) Septic shockd) Cardiogenic shock,a,general_faq
"A 57-year-old man arrives at the emergency room complaining of weakness, fatigue, and intermittent fever that has recurred for several weeks. The patient had a cardiac valvular prosthesis implanted 5 years ago. Blood cultures grew ceain gram-positive cocci on which catalase and coagulase test were done. The gram-positive organisms failed to ferment mannitol, and their growth was inhibited by novobiocin. CATALASE TEST SLIDE COAGULASE TEST Lesions seen on skin What is the most likely infectious agent?",Staphylococcus aureus,general_faq
Diagnosis of beta Thalassemia is established by,NESTROFT Test,general_faq
'Rosette cataract' is caused by:,Diabetes,general_faq
In colposcopy following are visualised except:,Upper 2/3rdendocervix,general_faq
"All are features of Trachoma stage Ill, except:",Herbe's pits,nutrition_advice
Paraxial mesoderm develops into,Somites,general_faq
Adverse effect of clozapine:,Hypeension,general_faq
Amsler sign?,Fuch heterochromatic iridocyclitis,general_faq
True about pyogenic liver abscess -,Single & large abscess,general_faq
"A thirty year man presented with nausea, fever and jaundice of 5 days duration. The biochemical tests revealed a bilirubin of 6.7 mg/dl (conjugated 5.0 mg/dl) with SGOT/SGPT (AST/ALT) of 1230/ 900 IU/ml. The serological tests showed presence of HBsAg, IgM anti HBc and HBe Ag. The most likely diagnosis -",Chronic hepatitis B infection with high infectivity,general_faq
True about Caspases is?,Involved in apoptosis,general_faq
The diagnostic test for rickettsial infection is:,Weil-felix reaction,general_faq
The greatest incidence of bronchopleural fistula is follwing -,Segmental resection,nutrition_advice
A 60 yr old chronic smoker presents with painless gross hematuria of 1 day duration. Which is the investigation of choice to know the cause of hematuria?,USG,symptoms_diagnosis
"In Indoor air pollution, carbon monoxide is produced by -",Combustion equipment,general_faq
Normal value of ankle branchial index is,0.8,general_faq
"Recommended reflection factors include each of the following, except –",Ceilings 80%,general_faq
Which of the following is not a structural element of TMJ?,Sigmoid notch,general_faq
"A man presented with persistent ear pain and discharge, retro-orbital pain and modified radical mastoidectomy was done to him. Patient comes back with persistent discharge, what is your diagnosis?",Diffuse serous labyrinthitis,symptoms_diagnosis
Vitamin A requirement in infant is -,350 mg,nutrition_advice
Peptic ulcer is caused by,H. pylori,general_faq
True regarding amaurosis fugax are all except:,"Transient, recurrent episodes of visual loss",general_faq
Silicosis caused by ?,Gold,general_faq
"A patient died during surgery. The relatives allege that death was due to negligence. According to a recent Supreme Cou judgment, doctor can be charged for Medical Negligence under section 304-A, only if:",There is corporate negligence,nutrition_advice
A 6hours old snake bite patient comes to emergency with mild local edema at the injury site. On examination no abnormalities detected and lab repos are normal. Most appropriate management is,Incision and suction,general_faq
The widest transverse diameter of the fetal skull is,Biparietal diameter,general_faq
Most common presenting feature of adult hypopituitarism is,Hypothyroidism,nutrition_advice
Not a B cell marker -,CD 19,general_faq
"All of the following are true about Roll back malaria except:(AIIMS November 2013, Nov 2012)",Insecticide treated mosquito nets,general_faq
"If a 5–year-old child suddenly develops stridor, which one of the following would be the most likely diagnosis –",Laryngomalacia,general_faq
What is the significance of mutation of CCR5 protein?,High resistance to HIV infection,general_faq
The earliest manifestations of increased intracranial pressure following head injury is :,Ipsilateral papillary dilatation,general_faq
KOH wet mount is prepared for,Bacteria,general_faq
Cicatrial Alopecia is seen in:,Tenia Capitis,general_faq
Poiseuille’s hagen lawis,F = (PA–PB) × 3.14 × r4/8nl,general_faq
CD marker of histiocytosis is-,CD IA,general_faq
Orally active hormone is:,TSH,general_faq
Most common cause of leukocoria in newborn is,Congenital cataract,general_faq
Parenchymatous xerosis of conjunctivitis is caused by,Trachoma,general_faq
"In narcolepsy, the polysomnographic recording typically shows which of the following patterns?",REM intrusion during inappropriate periods,general_faq
Which of the following results in increase in secretion of ADH?,Hypervolemia,general_faq
"A patient presented in casualty with a history of sudden onset palpitation, sensation of impending doom and constriction in his chest. This lasted for about 10-15 minutes after which he became all right. What is the MOST likely diagnosis?",Phobia,general_faq
Indication for fundoplication?,GERD,general_faq
Mount Fuji sign is a feature of,Fahr's disease,nutrition_advice
Amount of blood loss in class II circulatory failure/Haemorrhagic shock?,<15%,general_faq
True about valves in portal venous system -,Present at the junction of superior mesenteric artery with the splenic artery,general_faq
Neonatal polycythemia with hyperviscosity is associated with all except,Twin - Twin transfusion syndrome,general_faq
What does indicate in the following partograph indicators?,Mild uterine contractions,general_faq
Which of these is the most impoant indication for Strassmans Metroplasty done for a bicornuate uterus?,Infeility,general_faq
All are transmitted by blood except aEUR',Parvovirus B-19,general_faq
Bence jones proteinuria is derived from?,Alpha globulins,general_faq
Strawberry gingivitis is seen in:,Wegener's Granulomatosis,general_faq
When is this gross motor milestone attained by a child?,6 months,general_faq
Immediate treatment of hypercalcemia of malignancy is:,IV fluids,nutrition_advice
"When the concentration of the etchant is more than 50%, it forms a complex which prevents further dissolution. The complex is",hydroxyapatite,general_faq
Trials stage for experimentation of adverse drug reaction in large scale population is ?,I,medicine_info
Which of the following statements about Histamine is true: September 2012,Is found in Mast cells,general_faq
Which is a yeast like fungi: September 2007,Cryptococcus,general_faq
Maximum coverage to distribute forces over a wide area,Snows shoe effect,general_faq
Bitemporal hemianopic field defect is charactersitic of -,Glaucoma,general_faq
"Patient with fixed dilated pupil, with iris atrophy and secondary glaucoma after penetrating keratoplasty is suggestive of:",Benedict's syndrome,general_faq
A newborn child presents with inverted foot and the dorsum of the foot cannot touch the anterior tibia. The most probable diagnosis is:,Congenital vertical talus,general_faq
An elderly male presents with one episode of gross haematuria. All of the following investigations are recommended for investigating this patient except:,Cystoscopy,general_faq
A 62 year old male patient presented with signs and symptoms of stroke. MR angiography revealed thrombus in the posterior cerebral aery. All of the following structures may be affected by the lesion except,Choroid plexus of III ventricle,symptoms_diagnosis
In burns least useful is,Normal saline,general_faq
Most common type of vaginal carcinoma is :,Squamous cell carcinoma,general_faq
Drug of choice in anaphylactic shock is?,Subcutaneous Adrenalin,medicine_info
Granulomatous reactions caused by ova or products of schistosomes at places of oviposition would result in clinical manifestations which includes all except:-,Bladder wall hyperplasia,general_faq
"A 22 year old woman developed small itchy wheals after physical exeion, walking in the sun, eating hot spicy food and when she was angry. The most likely diagnosis is:",Chronic idiopathic utricaria,nutrition_advice
Most common cause of sho stature is:,Constitutional,general_faq
Feature that differentiates true from aificial bruise,"Round shape, irregular margins",nutrition_advice
Drug used for hypertension and pulmonary edema due to scorpion sting:,Prazosin,medicine_info
Which among the following is TRUE about confounding factor?,It is found equally between study and the control groups,general_faq
"A 48-year-old male complains of abdominal pain that began about 6 months previously which is constant in nature, especially after meals and is located in the upper mid abdomen superior to the umbilicus. He also repos some heaburn that occurred during the previous year. He has been under significant stress and has been self-medicating himself with over-the-counter antacids, with some relief. He states that his stools have changed in colour over the previous 2 months and now are intermittently dark and tarry in consistency. The physician tests the patient's stool and finds following result. What organs are likely to be affected?",NONE,symptoms_diagnosis
Testosterone production is mainly contributed by,Leydig cells,general_faq
In alcohol withdrawal which is not seen -,Seizure,general_faq
"Cause of ""bloody"" vomitus in a neonate",Meckel's diveiculum,general_faq
The hard carious dentin is removed with,Excavator,general_faq
"A 35-year-old woman develops an itchy rash over her back, legs, and trunk several hours after swimming in a lake. Erythematous, edematous papules are noted. The wheals vary in size. There are no mucosal lesions and no swelling of the lips. The most likely diagnosis is",Urticaria,general_faq
A 65-year-old male from bihar with a pneumonia has a sputum culture that is positive for a staphylococcal strain that is b-lactamase- positive. Which is the best choice of penicillin therapy in this patient?,Ampicillin,treatment_procedure
Expectant management of placenta pre includes all except,Anti-D,general_faq
The mechanism of action of Sofosbuvir?,Inhibits RNA dependent RNA polymerase of HCV,general_faq
Gastrojejernostomy surgery belongs to,Clean surgery,treatment_procedure
The strength attained by amalgam within 8 hours is,60%,general_faq
Main aim for treatment of TB ?,Prevention of complication,nutrition_advice
All of the following provisions are included in the Primary health care according to the Alma Ata declaration except:,Adequate supply of safe drinking water,general_faq
Cystic hygroma may be associated with: March 2005,Turner's syndrome,general_faq
Various agents are used for local anaesthesia. The first local anaesthetic used in clinical anaesthesia was:,Bupivacaine,general_faq
"All of the following results in central nervous system manifestation in chronic renal failure, EXCEPT:",Acidosis,general_faq
Which of the following is true statement regarding human eye,Cornea cut off wavelength upto 400 nm,general_faq
"Ramesh a 40 yr old male patient presenting with polyuria, pain abdomen, nausea, vomiting, and altered sensorium was found to have bronchogenic carcinoma. Which of the following electrolyte abnormality can be seen in him?",Hypokalemia,symptoms_diagnosis
Nodes of Rouviere -,Retropharyngeal node,general_faq
`NALGONDA technique' is used in -,Endemic-fluorosis,general_faq
Ratio of lung weight to body weight is calculated in,Fodere's test,general_faq
All are true regarding menstrual regulation except:,It comes under MTP act,general_faq
The arachnoid villi responsible for cerebrospinal fluid absorption protrude mainly in the:,Superior sagittal sinus,general_faq
who gave the concept of latent and manifest dreams,freud,general_faq
In meiosis chromosome number is,Doubled,general_faq
Laryngeal prominence is formed by-,Cricoid cartilage,general_faq
Which dietary deficiency of a vitamin can cause Pellagra.,Vitamin C,nutrition_advice
All are features of Lobar pneumonia except,Homogeneous consolidation,nutrition_advice
DNA dependent RNA synthesis is inhibited by:,Rifampicin,general_faq
The nerve impulse which leads to initiation of smooth muscle contraction,Cause opening of the calcium channel which leads to increase in Ca+2 contraction,general_faq
Distribution of functional renal tissue is seen by –,DMSA,general_faq
Zero order kinetics is shown by which drug -,Digoxin,medicine_info
Hyperglycemia is seen in all except?,Cirrhosis,general_faq
A 3 hour old preterm baby develop respiratory grunt and X-ray shows reticulonodular pattern. Diagnosis is,Hyaline membrane disease,general_faq
Recovery in cataract surgery is fastest with which of the following -,ICCE,treatment_procedure
Schiller-Duval bodies are seen in-,Teratoma,general_faq
The most common cause of Macular edema is,Secondary glaucoma,general_faq
A 25yr old male presented to OPD with complain of recurrent oral ulcers and congested eyesOn enquiry he has h/o prior hospital admission for venous thrombosis What is the condition he is suffering from,SLE,general_faq
All of the following heart sounds occur shortly after S2 except,Opening snap,general_faq
Pramlintide is ?,Synthetic amylin analogue,general_faq
"An 80-year-old woman presents with a 4-hour history of fever, shaking chills, and disorientation. Her blood pressure is 80/40 mm Hg. Physical examination shows diffuse purpura on her upper arms and chest. Blood cultures are positive for Gram-negative organism. Which of the following cytokines is primarily involved in the pathogenesis of direct vascular injury in this patient with septic shock?",Interferon-g,general_faq
The most common side effect of IUCD which requires its removal,Bleeding,general_faq
"Cluster headache is characterized by all, except:",Affects predominantly females,general_faq
Hamptoms Hump is seen in:,Pulmonary embolism,general_faq
Kidney cortex contains:,Loop of henle,general_faq
Dobutamine differs from dopamine in that,It has good blood-brain barrier penetrability,general_faq
Trantas spots are seen in –,Vernal conjunctivitis,general_faq
Mesentric tumours are,Usually solid,general_faq
Which of the following antiarrhythmic drugs can decrease the slope of Phase 0 and prolong the action potential duration?,Lignocaine,medicine_info
Which of the following is not a typical feature of Meniere's disease,Sensorineural deafness,nutrition_advice
Renshaw cell inhibition is an example of:,Postsynaptic inhibition,general_faq
Call Exner Bodies are seen in :,Dyserminomas,general_faq
"A pregnant lady at 32 weeks' gestation period presents with a BP of 160/110 mm Hg, Proteinuria with Retinal Hemorrhage What is the Definitive Management of choice in this case?",Ritodrine,general_faq
Amniocentesis conducted during genetic counseling of a pregnant woman reveals a fetal adenosine deaminase deficiency. This autosomal recessive immunodeficiency is usually associated with which of the following?,Humoral Immunity - Normal; Cellular Immunity - Normal,general_faq
The usefulness of a 'screening test' in a community depends on its -,Sensitivity,general_faq
An appendicular fistula is least likely to heal if ?,The stump was sutured with vicryl,general_faq
"After tonsillectomy, secondary haemorrhage occurs",Within 24 hours,general_faq
All are true about type 1 schizophrenia except?,Acute illness,general_faq
Garlicky odour in the gastric contents seen in which non metallic poisoning,Sulphur,general_faq
Bioavailability is:,Amount of drug that reach the systemic circulation,general_faq
Presence of Hbe Ag in patients with hepatitis indicates -,Simple carriers,general_faq
Following are the major symptoms of obsessive compulsive disorders -,Contamination,symptoms_diagnosis
All are true regarding staphylococcal toxin except ?,Beta haemolysin shows hot cold phenomenon,general_faq
"An obese, diabetic patient with hypertension who is also a smoker, currently on anti-hypertensive and OHA drugs presents with complains of apnea during night. Polysomnography reveals 5 apneic episodes and 1 hypoapneic episode in one hour. What will be best next line of management is: (E. REPEAT 2007)",Nasal CPAP,medicine_info
Keshan disease is caused by deficiency of:,Thiamine,general_faq
Comment on the diagnosis from the ECG shown below:,RCA occlusion by thrombus,general_faq
Commonest cause of cataract,Hereditary,general_faq
Methylene blue test is used to detect,Microorganisms,general_faq
True about nabothian cyst is all except -,Squamous epithelium occludes the mouth of the glands,general_faq
"Hippocampal formation includes all, except?",Dentate gyrus,general_faq
Odd pair -,Erythema marginatum-rheumatic fever,general_faq
Blanket consent is consent taken: NEET 14,When the patient comes to doctor for treatment,general_faq
"All are TRUE about protease activated receptors, EXCEPT:",Family of three seven transmembrane protein,general_faq
All are true about SALK vaccine except -,It prevents paralysis,general_faq
Miyagawa body is characteristically seen in,Kala azar,general_faq
The congenital Anomaly of Gallbladder shown here is,Septum,general_faq
During normal conversation sound heard at 1meter distance is,60 dB,general_faq
A patch test is what type of hypersensitivity?,Type 4,general_faq
"A metastatic carcinoma in the brain of an adult, most often comes from primary in the",Stomach,general_faq
"Nux vomica seeds contain 2 alkaloids, strychine and-",Hyoscine,general_faq
"When there is no other source of glucose, liver and muscle glycogen would be exhausted after",12 hours,general_faq
Which one of the following device provides fixed performance oxygen therapy:,Nasal Cannula,treatment_procedure
Which statement is FALSE regarding specific learning disorders (SLD),The overall estimates of the prevalence of SLD range from 3-1096,general_faq
In lepromatous leprosy the single drug dapsone is continue for -,9 days,medicine_info
This cream is appropriate for all of the following procedures Except,Venipuncture,treatment_procedure
Cross cylinders is,One plus cylinder and one minus cylinder of equal strength,general_faq
All of the following shows positive myoclonus except?,Hepatic encephalopathy,general_faq
"A patient with carcinoma lower 1/3 of oesophagus, receives chemo Radiotherapy and dysphagia shows complete response. What is the next step in management?",Reassure,treatment_procedure
Pterygium all are true except:,Arise from any pa of conjunctiva,general_faq
Heberden done denotes involvement of,Distal inetrphalangeal joint,general_faq
Trendlenburg's test done for varicose veins is for detection of:,Perforator in competency,general_faq
"Local lymph nodules are enlarged near the infected wound. Increased amount of macrophages, lymphocytes, lymphatic follicles in the coical layer and large amount of plasma cells were revealed on histological examination. What process in the lymphatic nodules represent these histological changes?",Antigen stimulation,general_faq
"In an adult, the hyoid bone is seen at which of the following level of the cervical veebrae?",C2,general_faq
Xerosis is seen in: September 2006,Vitamin A deficiency,general_faq
"A 7-day-old premature infant born at 26 weeks of gestation now has a grossly bloody stool, abdominal distention, and increasing oxygen requirements. choose the best initial diagnostic step in the evaluation of the patient's apparent GI hemorrhage.",Abdominal series,general_faq
Exotropia occurs due to,Third nerve palsy,general_faq
True statement regarding upper GI bleeds:,It is bleeding up to ampulla of Vater,general_faq
Vasa pre in a term gestation is managed by __________,Rapid induction and delivery by vaccum,general_faq
Single most sensitive tool for evaluating the iron status is,Haemoglobin concentration,general_faq
Turbinate that aiculates with ethmoid is:,superior,general_faq
What is the most probable poal of entry for Aspergillus,Puncture wound,general_faq
A region is divided into 50 villages for the purpose of a survey. 10 villages are then selected randomly for the purpose of a study. This type of sampling is termed as:,Simple Random sampling,general_faq
Which steroid is formed from cholesterol without hydroxylation -,Progesterone,general_faq
Drugs commonly used in pre-anaesthetic medication are all except,Diazepam,medicine_info
False about Immunoglobulins is,Y shaped heterodimer composed of four polypeptide chains,general_faq
"In Post radical neck dissection shoulder syndrome, all are seen except:",Restricted range of movement,general_faq
All of the following are seen in deep vein thrombosis except,Pain,general_faq
A person with eyes closed & mind wondering will have the following wave in,a-waves,general_faq
Which of the following amino acid takes a role in detoxification of ammonia normally in the human body?,Glutamine,general_faq
A specific test for gout is -,Raised serum uric acid level,general_faq
"A patient of rectal carcinoma found to have tumor invading through the muscularis propria into the perirectal tissues, and two enlarged lymph nodes. How will you manage the patient?",Surgery only,general_faq
"Lateral Medullary Syndrome involves all of the following cranial nerves, Except:",Vth CN,general_faq
All of the following veins lack valves except,Femoral vein,general_faq
"A 5-year-old boy is brought to the emergency room with a fever of 103degF (38.7degC), chest pain, and productive cough. The patient has a history of recurrent pulmonary disease and respiratory distress. What microorganism recovered from the lungs of this child is virtually diagnostic of cystic fibrosis?",Klebsiella sp.,symptoms_diagnosis
The transmembrane adhesive molecules present in hemi desmosomes which specifically binds to basal lamina glycoprotein laminin are,integrin α6-β4,general_faq
Superior vena cava is derived from:,Aortic arch,general_faq
Which of the following is seen at high altitude:September 2011,Low PaO2,general_faq
IPC 193 is for -,Perjury,general_faq
Budding reproduction in tissue is seen in,"Cryptococcus, candida",general_faq
Counter transference is -,Patient's feelings towards therapist,general_faq
"A patient comes to emergency opd with feeling of impending doom, intense anxeity and palpitations. All of the following investigations should be done in emergency except?","T3, T4, TSH",symptoms_diagnosis
Most common tumor to extend from intracranial to orbit is-,Astrocytoma,general_faq
Third hea sound is seen in all except,Athletes,general_faq
"A 48 year old woman has developed chronic renal failure, and a renal scan showed bilaterally enlarged kidneys with multiple cysts. She had a sudden onset severe headache. A cerebral angiogram demonstrated marked narrowing of cerebral aery branches near the base of the brain, consistent with vasospasm, but no intraparenchymal hemorrhage were present. Which of the following condition MOST likely produced these findings?",Bacterial meningitis,general_faq
Which of the following is not a true association of thymoma ?,Myasthenia gravis may be seen,general_faq
"Primary prevention includes all, except:",Marriage counselling,general_faq
"""Annular herald patch"" is found in",Pityriasis alba,general_faq
"The measure of variability indicating how many standard detions, an observation is above or below the mean is",Z score,general_faq
Most common renal pathology in shock:,Acute tubular necrosis,general_faq
Semicircular canals are stimulated by:,Gravity,general_faq
High-risk breast cancer female investigation of choice is?,MRI,general_faq
Which of the following drug is a reverse transcriptase inhibitor ?,Indinavir,medicine_info
A middle aged female repoed with dull diffuse progressive headache of 2 months duration associated with episodes of vomiting and blurred vision at times. Cough increases the headache.Likely patient has,Vascular headache,general_faq
Auer rods are seen in:,Acute myeloid leukemia.,general_faq
"A 28 year old female teacher is found to have a prolonged bleeding time and normal platelet count. She had a bleeding of ""easy bleeding"" with frequent bleeding of the gums, epistaxis, cutaneous bleeding and menorrhagia, further testing revealed a deficiency of Von willebrand factor. Which of the following thrombogenic processes involving platelets is most directly impaired?",Adhesion,general_faq
"All are caused by RNA viruses, EXCEPT:",HIV,general_faq
Most cases of paraneoplastic syndrome are associated with which type of lung carcinoma?,Small Cell Ca,general_faq
Type II hypersensitivity -,Blood transfusion reaction,general_faq
Pain relief in chronic pancreatitis can be obtained by destruction of,Celiac ganglia,nutrition_advice
What change will be seen in vertebral column in ochronosis-,Calcification of disc,general_faq
Following are the normal features in temporomandibular joint except,Joint sound,nutrition_advice
Thickness of oxygen inhibition layer in composite curing is:,1-50 micrometer,general_faq
X - linked inheritance of alport's syndrome is due to mutation of _________,COL4A5 gene,general_faq
Drug metabolized by Glutathionation is,Benzodiazepines,medicine_info
