question,answer,intent
Fosphenytoin different from phenytoin in which of the following-,Can be used in absence seizures,general_faq
Macrocytic anemia is seen in all EXCEPT -,Vitamin B12 deficiency,general_faq
Chyluria is due to-,Carcinoma,general_faq
Which of the following is true about pathophysiology of skeletal fluorosis?,Fluorine increases PTH levels by direct action,general_faq
Patient is on Autocoids for 1 year now complains of severe pain Epigastrium relieved by antacid drugs. He complaints of Right Iliac fossa pain and loss of liver dullness. Diagnosis is:,Perforation of duodenum,medicine_info
"Upon contact between the sperm head and the zona pellucida, penetration of the sperm into the egg is allowed because of",The acrosome reaction,general_faq
A person switches from high fat diet to low fat diet with compensatory increase in carbohydrates to maintain the same calories. Which of the following fat component will be increased ?,Chylomicron,nutrition_advice
G-cells are present mostly in- G-cells are present mostly in-,Fundus,general_faq
Which type of cells are prominently infiltrated in Rheumatoid arthritis?,B cells,general_faq
Most common cause of isolated splenic metastasis is:,Carcinoma pancreas,general_faq
Cellular oxidation is inhibited by :,Cyanide,general_faq
Which of the following includes the contents of the orbit,Orbital and bulbar fascia,general_faq
Pulse pressure in severe aoic regurgitation is equal to-,30-45mmHg,general_faq
Transplacental exchanges that take place are essential to the well being of the fetus. Which of those listed below is NOT a method?,Simple diffusion,general_faq
Superficial inguinal lymph nodes drain from all of the following except:,Urethra,general_faq
Which of the following anticancer drug can cause flagellated dermatitis?,Cisplatin,medicine_info
Hypoplastic defects in permanent central and lateral incisors are likely to result due to severe illness or other factors during:,First nine months of life,general_faq
The commonest cranial nerve involved in acoustic neuroma is:,IX,general_faq
The first case introduced into the population group to be studied is called:,Index case,general_faq
Long thyroid stimulating agent is,Antibody to thyroid globulin,general_faq
Pungent volatile anesthetic agents are:,Halthane,general_faq
What are the minimum and maximum possible values of Glasgow Coma Score?,"Minimum = 3, Maximum = 15",general_faq
Iron is absorbed in: March 2012,Stomach,general_faq
Falanga is -,Suspension by wrist,general_faq
The most ideal explanation for recurrence of odontogenic keratocyst is,Increased mitotic activity of the epithelial lining,general_faq
Cognitive model of depression is given by ?,Ellis,general_faq
A 22 years old man presents with a solitary 2 cm space occupying lesion of mixed echogenecity in the right lobe of the liver on USG. The rest of the liver is normal. Which of the following test should be done next?,Ultrasound guided biopsy of the lesion,general_faq
Dye used for myelography,Conray 320,general_faq
Which is NOT pyrogenic Interleukin,IL-1,general_faq
"A 45-year old male presented with severe respiratory distress. O/E he had pedal edema, bilateral crepitation on auscultation. He was admitted to emergency department and expired 2 days of admission. Lung biopsy done suggested the following. What is your diagnosis?",CMV pneumonitis,general_faq
Murder is.............. offence.,"Cognizable, non-compoundable and non-bailable",general_faq
"In stage III ovarian cancer patient with upper abdominal disease < 5cm, management of choice is",Debulking surgery,general_faq
"Which of the following diseases of the skin is the most
likely to be associated with partial anodontia?",erythema multiformae,general_faq
Early neonatal sepsis occurs within (hours) -,8,general_faq
Cylindrical dilatation of renal tubules is seen in -,Polycystic disease of kidney,general_faq
All the following are features of Tropical pulmonary eosinophilia except,Eosinophilia>3000/mm3,nutrition_advice
Feilization occurs in which pa of the fallopian tube,Ampulla,general_faq
Naturally occurring LA –,Cocaine,general_faq
The dangerous paicle size causing pneumoconiosis varies from ?,100-150 m,general_faq
"An 6 cm simple ovarian cyst was identified in late pregnancy, what would be the best management ?:",Emergency laparotomy,general_faq
Periodontal pack is least successful in the management of?,Splinting,general_faq
Neovascularisation is seen in,Central vein obstruction,general_faq
A person present with cribriform plate fracture with CSF rhinorrhea. What will be immediate treatment?,Frequent blowing of nose,nutrition_advice
Which of the following structures is least likely to be damaged during mandibular 3rd molar extraction,Lingual artery,general_faq
"A 60 yr old female with I-1/0 8 blood transfusion in 2 years. Her Hb- 60g/L, TLC-5800, platelet-3.4 lakhs, MCV 60, RBC-2.1 lakhs/mm3. He is having hypochromic microcytic anemia. Which investigation is not needed aEUR'",Evaluation for pulmonary hemosiderosis,general_faq
Nitrates are not used in -,CCF,general_faq
Natural uncoupler is-,Thermogenin,general_faq
All of the following statements about hairy cell leukemia are true except:,Splenomegaly is conspicuous,general_faq
A decrease in which of the following parameters will shift the O2 dissociation curve to the right?,pH,general_faq
Kussumauls breathing,Metabolic alkalosis,nutrition_advice
Dislocation of lens is seen in:,Trachoma,general_faq
Which of the following is not a prodrug-,Enalapril,medicine_info
"Cause of ""bloody"" vomitus in a neonate",Meckel's diveiculum,general_faq
Lancinating pain around the tonsils during eating is indicative of,Trigeminal neuralgia,nutrition_advice
"Bird of Prey"" sign is seen in the radiographic barium examination of:",Gastric volvulus,general_faq
"A 30-year-old woman sustained a traumatic blow to her right breast. Initially, there was a 3-cm contusion beneath the skin that resolved within 3 weeks, but she then felt a firm, painless lump that persisted below the site of the bruise 1 month later. What is the most likely diagnosis for this lump?",Abscess,nutrition_advice
The basis of Korotkoff sound is,Aoic valve closure,general_faq
Aganglionic segment is encountered in which part of colon in case of Hirchsprung's disease -,Distal to dilated segment,general_faq
Estimation of the following hormones is useful while investigating a case of gynecomastia except-,Testosterone,general_faq
Light requirement in watch manufacturing company is -,2000-3000 Lux,general_faq
Drug with membrane stabilizing activity is?,Nadolol,medicine_info
Which of the following statement is/are true of all paramyxoviruses -a) They contain a single standed RNA genome of negative polarityb) Envelope is derived from the host cells plasma membranec) They have a cytoplasmic site of replicationd) They enter the body by the respiratory route,acd,general_faq
Venous congestion of liver affects ?,Midzone,general_faq
In alcohol withdrawal which is not seen -,Seizure,general_faq
Pitting of nails is seen in – a) Lichen planusb) Psoriasisc) Pemphigusd) Arsenic poisoning,ab,general_faq
A triphasic withdrawal syndrome follows an abrupt discontinuation of ______ use.,Alcohol,general_faq
Lamivudine is given when?,HBeAg positive,general_faq
"In PML, all of the following are seen except :",Retinoic acid is used in treatment,general_faq
All the following are true of Paget disease Except,It affects elderly individuals,general_faq
True about keratoconus are all of the following except: September 2005,Can be seen in Down's syndrome,general_faq
Vaccines prepared by embryonated hen's egg are:,Measles,general_faq
How does the distal nephron differ functionally from the proximal tubule?,The distal nephron has a more negative intraluminal potential than the proximal tubule.,general_faq
Which is the commonest abdominal mass in neonate -,Wilm's tumor,general_faq
Mode Is:,Arthimetic average of the values,general_faq
A patient gets tingling when his bed light is flashed suddenly. Which type of hallucination is this :,Hypnagogic hallucinations,general_faq
Which of the following amino acids is most responsible for the buffering capacity of hemoglobin and other proteins?,Arginine,general_faq
Which of the following is NOT associated with elevation Right hemi-diaphragm:,Amebic abscess,general_faq
All of the following drugs are useful in the treatment of a patient with acute bronchial asthma except,Ipratropium,medicine_info
Mydriasis is/are caused by:,Homer syndrome,general_faq
Which of the following techniques use piezoelectric crystals -,Ultrasonography,general_faq
A patient with hypeension is also having aoic dissection. Anti-hypeensive agent of choice is: September 2008,Sodium nitroprusside,general_faq
"The parietal peritoneum covering the inferior surface of the diaphragm transits its sensory information via the phrenic nerve. In the case of peritonitis in the parietal peritoneum on the inferior surface of the diaphragm, pain may be referred through which of the following nerves?",A,symptoms_diagnosis
Operation of choice in GERD is,Highly selective vagotomy,general_faq
Non immunized susceptible diphtheria contacts should receive:,Erythromycin,general_faq
In emergency tracheostomy following structures are damaged except:,Isthmus of thyroid,general_faq
Intrinsic factor is required for absorption of ?,Folic acid,general_faq
"After a normal prenatal period, a lady developed sudden HTN and bleeding from all places. Diagnosis is:",DIC,general_faq
Which of the following is the best test to diagnose bleeding in DIC?,Increased PT,symptoms_diagnosis
Chlorhexidine as a root canal irrigant is,"Active against gram +ve , gram –ve bacterias and to some extent Virus with lipid envelop.",general_faq
Inferior border of scapula lies at the level of which rib?,5th,general_faq
Most common complication of acute pancreatitis is -,Pancreatic abscess,nutrition_advice
"Marble bone disease, characterized by increase in bone density is due to mutation in the gene encoding:",Carbonic Anhydrase I,general_faq
Cidex is,Gluteraldehyde,general_faq
Hemorrhagic fever is caused by -,West-Mile fever,general_faq
Initial stage of clinical union of bone is equivalent to,Callus formation with woven bone,general_faq
"A two-year-old child presents with persistent diarrhea, acidic stools and presence of one percent of reducing substance in the fresh stools. What is the most probable diagnosis?",Cystic fibrosis,general_faq
Drug of choice for mycoplasma pneumonia is,Penicillin,medicine_info
"A 6 year old female patient complains of pain due to a decayed lower right 2nd molar. During the treatment, patient becomes uncooperative and throws a tantrum. The dentist then asks the mother to step out of the operatory, after which the child begins to cooperate. The example demonstrated by the dentist falls under which type of conditioning, as described by Skinner?",Positive reinforcement,nutrition_advice
Desks provided with table top to prevent neck problems in an example of,Primordial prevention,general_faq
Glutamine synthetase is a -,Isomerase,general_faq
Which of the following is not an accepted method of randomization-,Computer drawn randomization,general_faq
A 23 year old profession footballer sufferd a twisting injury to his right ankle. On examination there is a lot of swelling around the medial malleolus but xray doesn't show any fracture. The structure injured could be -,Deltoid Ligament,general_faq
Von Willebrand&;s factor is synthesized in which one of the following -,Vascular endothelium,general_faq
Persistence of Moro's reflex is abnormal beyond the age of –,3rd month,general_faq
Which of the following statements regarding live vaccines is false,Two live vaccines cannot be administered simultaneously,general_faq
"All are alkylating agents, except ?",5-FU,general_faq
True about VSD are all except -,Left to right shunt,general_faq
The most common causative organism for external otitis in adults is:,Streptococcus viridans,general_faq
Insulin is secreted along with the following molecule in a 1: 1 ratio:,Pancreatic polypeptide,general_faq
"A 20 year old boy c/o hearing of voices, aggressive behavior since 2 days. He has fever since 2 days. When asked to his family, they says that he has been muttering to self and gesticulating. There is no h/o of psychiatric illness. Likely diagnosis is",Dementia,general_faq
The most impoant prognostic factor in breast carcinoma is,Histological grade of the tumor,general_faq
Which of the following is associated with > 20% risk of chromosomal anomalies?,Omphalocele,general_faq
Features of SLE include all of the following except -,Recurent abortion,nutrition_advice
Multiple myeloma most common part involved is-,Bone marrow,general_faq
All are the causes of neovascular glaucoma except:,Intraocular tumour,general_faq
False about  Corona viruses?,Corona viruses are non-enveloped,general_faq
Copper sulfate poisoning manifests with,High anion gap acidosis,general_faq
Which of the following enzyme is associated with the conversion of androgen to oestrogen in a growing ovarian follicle is:,Aromatase,general_faq
All of the following may occur in Noonan syndrome except:,Hypertrophic cardiomyopathy,general_faq
Gas gangrene is caused by all except,Cl. Histolyticum,general_faq
"60 yrs old, air in biliary tree, colicky abdominal pain hyper-peristaltic abdominal sounds diagnosis -",Gall stone ileus,symptoms_diagnosis
The term applied when it is doubtful whether there will be space for all the teeth in mixed dentition analysis is:,Space maintenance,general_faq
Absence seizures are seen in:,Grand mal epilepsy,general_faq
Which of the following enzymes contain manganese as its cofactor?,LDH,general_faq
Ergometrine is not used for initiation of labour because -,Show onset of action,general_faq
"A 60-year-old man presents to the emergency department with chest pain described as retrosternal chest pressure radiating to the jaw. The symptoms started at rest and coming and going, but never lasting more than 15 minutes. He has a prior history of hypertension and smokes 1 pack/day. He is currently chest-pain free and on physical examination the blood pressure is 156/88 mmHg, pulse 88/min, and O2 saturation 98%. The heart and lung examination is normal.His ECG shows ST-segment depression in leads V1 to V4 that is new, and the first set of cardiac enzymes is negative. He is diagnosed with unstable angina pectoris, admitted to a monitored unit, and started on low molecular weight heparin, aspirin, nitroglycerin, and beta- adrenergic blockers. He continues to have ongoing chest pain symptoms. Which of the following is the most appropriate next step in management?",IV streptokinase,symptoms_diagnosis
Which of the following manifestations is not a clinical manifestation of parvovirus infection?,Erythema infectiosum,general_faq
Which one of the following statements about the gap junction is true?,It extends as a zone around the apical perimeter of adjacent cells.,general_faq
The muscle responsible for falsetto voice of puber phonia is,Vocalis,general_faq
"The virus, which spreads by both hermatogenous and neural route is -",Rabies virus,general_faq
The esophagus crosses the diaphragm at the level of:,T8,general_faq
Constriction of the afferent aeriole to the kidney glomerulus results in:,Reduction of glomerular filtration rate and decreased urinary output,general_faq
"During the following procedure, optimum interval between uterine incision and delivery should be less than ______ seconds.",30 seconds,treatment_procedure
Ivermectin is indicated in all of the following except:,Ascaris,general_faq
Reinsch test is used in diagnosis of poisoning due to: UP 11; COMEDK 12,Arsenic,general_faq
Groove sign is seen in –,Donovanosis,general_faq
Drug of choice for absence seizures: March 2011,Carbamazepine,medicine_info
Least common cause of pericarditis/pericardial effusion in children:,Rheumatic fever,general_faq
"Actions of Bradykinin include all of the following, EXCEPT:",Vasodilatation,general_faq
The lack of ability of an individual to do his routine activity is -,Disease,general_faq
Most common affected tissue in cysticercosis is:,Brain,general_faq
"A child is taken to a pediatrician because his mother notices that his eyes appear very puffy. The mother said that the boy's eyes appeared normal two days ago, and pa of what caused her concern was that her child seemed to be rapidly becoming ill. On physical examination, the boy is noted to have generalized edema. No hypeension or jaundice is noted. Blood urea nitrogen and serum creatinine are within normal limits. A urine sample is collected, and the nurse notices that the top of the urine has a small amount of foam at the top. Urinalysis is negative for glucose, red cells, white cells, casts, crystals, and bacteria. A 24-hr-urine specimen is collected, which demonstrates proteinuria of 55 mg/h/m2. Which of the following is the most likely diagnosis?",Acute renal failure,nutrition_advice
Maximum regenerative capacity is of ?,Liver cells,general_faq
Drugs used for anaesthesia in hypotensive is,Propofol,medicine_info
Syncytium formation is a propey of ?,Herpes virus,general_faq
Which of the following is most common type of congential cardiac cyanotic anamoly?,Tetralogy of Fallot,general_faq
The commonest cranial nerve palsy in tabes dorasalis is:,III nerve,general_faq
The commonest cancer of oral cavity is,Adenocarcinoma,general_faq
Point Prevalence is defined as-,Number of new cases at a given point of time,general_faq
"In Post radical neck dissection shoulder syndrome, all are seen except:",Restricted range of movement,general_faq
Lysosomal transpo defect is seen in,Cystinosis,general_faq
"An 18-year-old man moves from sea level to an elevation of 2,400 m to train as a skier. The increased requirement for oxygen delivery to tissues at the higher elevation stimulates the synthesis of a renal hormone (erythropoietin), which targets hematopoietic stem cells in the bone marrow. Erythropoietin promotes the survival of early erythroid progenitor cells primarily through which of the following mechanisms?",Altered cell-matrix adhesion,general_faq
Sunflower cataract is caused by,Siderosis,general_faq
Notochord develops from -,Epiblast cells,general_faq
Scalp and face are involved in ?,Adult scabies,general_faq
False about Neurotic disorders,Aware of reality,general_faq
Dosage of Albendazole given as per National deworming program in <2years old child.,200mg,general_faq
"Muscle forming anterior and posterior faucial folds of tonsillar fossa, respectively",Levator veli palatine-tensor veli palatine,general_faq
GTT in pregnancy is indicated when if fasting blood sugar is above-,80gm/100ml,general_faq
"Patient came with complaints of Polydipsia, hypercalciurea, nephrolithiasis, metabolic alkalosis. Possible cause is",Baters syndrome,general_faq
Clathrin is used in:,Receptor mediated endocytosis,general_faq
Hockey stick appearance on echo is a feature of,Mitral stenosis,nutrition_advice
"All the following features our ventricular tachycardia as the cause of broad-complex tachycardia, except -",Fusion beats,nutrition_advice
An elderly patient complains of recurrent episodes of amaurosis fugax. This is attributable to microembolization of which of the following?,Facial artery,general_faq
"A 44-year-old renal transplant patient develops severe cough and shortness of breath on exertion. On examination, he appears dyspneic, respirations 24/min, pulse 110/min, and oxygen saturation 88%. His lungs are clear on auscultation and heart sounds are normal. CXR shows bilateral diffuse perihilar infiltrates. Bronchoscopy and bronchial brushings show clusters of cysts that stain with methenamine silver. Which of the following is the most appropriate next step in management?",amphotericin B,nutrition_advice
"A 21yrs. old pt. attended a party the previous night and gives the following symptoms pain in abdomen radiating to back, pulse 100/ min, BP 100/76temp 39deg C and vomiting before coming Most probable dx is :",Acute appendicitis,symptoms_diagnosis
Which of the following disease can be associated with sho QT interval on ECG ?,Chronic myeloid leukemia,general_faq
An indicator is said to valid if,It also measures the thing it didn't suppose to measure,general_faq
Presence of hemiplegia with diminution of vision in the contralateral eye suggests occlusion of: September 2012,Middle cerebral aery,general_faq
"In increased ICT, agent used for anesthesia",N20,general_faq
Malignant cell in Hodgkin's lymphoma is,Reed stenberg cell,general_faq
PR interval in ECG shows?,Ventricular depolarization,general_faq
Which of the following is a radiolucent stone?,Uric acid,general_faq
Pain of musculoskeletal origin is all except,MPDS,symptoms_diagnosis
"Milk ejection is facilitated by:March 2007, March 2013",Oxytocin,general_faq
Anterior spinal artery is a branch of,Internal carotid artery,general_faq
Most common cause of decrease in incidence of H.pylori in the western countries is due to,Change in life style,general_faq
"Following a myocardial infarct, a 40-year-old man is being treated prophylactically with propranolol. You would be concerned about the use of this drug if the patient also had what comorbid condition",Glaucoma,medicine_info
Which of the following describes Satyriasis?,Decreased sexual drive in male,general_faq
Dose of Human anti-rabies immunoglobulin is,10 IU/kg,medicine_info
Baroreceptors stimulation would result in,Inhibition of para sympathetic activity,general_faq
All are side effects of steroid EXCEPT,Skin atrophy,general_faq
Paul Bunnel test is done for?,HBV,general_faq
The largest trematode infecting masn is -,F. Hepatica,general_faq
True regarding respiratory centre,Directly simulated by fall in PaO2,general_faq
The occurrence of hyperthyroidism following administration of supplemental iodine to subjects with endemic iodine deficiency goitre is known as -,Jod-Basedow effect,general_faq
Lymphadenopathy is seen is A/E,Syphlis 1st Stage,general_faq
Fluconazole differs from ketoconazole in all the following except (REPEAT),Route of administration,nutrition_advice
Amount of chlorine needed to kill cyclops in drinking water is: September 2007,3 ppm,general_faq
"A 16 year old student reported for the evaluation of multiple hypopigmented macules on the trunk and limbs.All of the following tests are useful in making a diagnosis of leprosy, except –",Sensation testing,general_faq
Type-1 hypersensitivity includes all of the following except:,Autoimmune hemolytic anemia,general_faq
"A 80 year old patient presents with a midline tumor of the lower jaw, involving the alveolar margin. He is edentulous. Rx of choice is:",Hemi mandibulectomy,general_faq
Which of the following is not a derivative of amino acid tyrosine,Thyroxine,general_faq
A 28 Years old white female presents with a 15-day history of malodorous vaginal discharge and pruritus. She reports that the smell is worse after intercourse and is accompanied by a white discharge. No significant medical or gynecological history. She is in a stable monogamous relationship and has never been pregnant. Which of the following diagnostic features is consistent with Bacterial vaginosis?,"Vaginal fluid pH > 6, scanty secretions with increased para basal cells",nutrition_advice
Valvulae conniventes are seen in,Jejunum,general_faq
"A girl aged 20 yrs complains of headache while studying. Her vision is found to be normal. All
of the following should be further evaluated except",Self worth,general_faq
Congenital hypertrophic pyloric stenosis usually presents –,Within 2 days after birth,general_faq
Prophylaxis against spontaneous bacterial peritonitis ( SBP) in case of cirrhosis with ascites is indicated in:,Patients with high protein ascites,general_faq
Radiation induced thyroid cancer is -,Papillary,general_faq
Significant value of `p' is ?,0.01,general_faq
Complications of Colles' fracture are all except,Malunion,general_faq
Lecithin/Sphingomyelin ratio is done to assess the maturity of:,Lung,general_faq
One of the following activities is not mediated through β2 adrenergic receptors:,Stimulation of lipolysis,general_faq
At which level sound is painful -,100-120dB,symptoms_diagnosis
All of the following are included as causes of maternal death except -,Following aboion,nutrition_advice
Trypsinogen to trypsin is conveed by,Enteropeptidase,general_faq
Which of the following is used to represent continuous (quantitative) data ?,Bar diagram,general_faq
What is the most probable poal of entry for Aspergillus,Puncture wound,general_faq
Obstruction to the flow of CSF at the aqueduct of Sylvius will most likely lead to enlargement of -,All of the ventricles,general_faq
Dinner fork deformity is seen in -,Colies fracture,general_faq
Ministry covering ESI:,Ministry of health,general_faq
"A 22yrs female was admitted in emergency with c/o nausea, vomiting, and watery diarrhoea since 4 days. He is also having low grade fever. He was hospitalised and treated symptomatically and was being relieved and discharged. His blood samples were sent for culture; repos of which pt. brought during his follow up - which showed the presence of clostridium perfringens. Being his physician what should be your next instruction to such patient -",IV penicillin therapy plus colonoscopy.,nutrition_advice
Leukocytoclastic vasculitis as an extrahepatic manifestation is noticed in:,Chronic hepatitis B,general_faq
"An antihelmenthic drug that is effective against blood fluke, liver fluke, lung fluke and cysticercus is:",Albendazole,medicine_info
"All of the following are good prognostic factors for childhood Acute Lymphoblastic Leukemia, except:",Hyperdiploidy,general_faq
Radiological feature of Mitral stenosis is are,Double contour of right hea border,nutrition_advice
Which of the following hormone doesn't use the adenylyl cyclase-cAMP as a second messenger ?,TSH,general_faq
A 3 years old boy presented with fever with pain in the throat and difficulty in deglutition. On examination following findings are seen. What is the most likely diagnosis?,Peritonsillar abscess,symptoms_diagnosis
Brinzolamide is a,Highly specific irreversible and noncompetitive carbonic anhydrase inhibitor,general_faq
Cholesteatoma commonly associated with:,Atticoantral CSOM,nutrition_advice
A child presenting with localized patches of complete hair loss with normal appearance of scalp. Diagnosis is -,Tinea capitis,general_faq
"An 8-hour-old term infant develops increased respiratory distress, hypothermia, and hypotension. A complete blood count (CBC) demonstrates a white blood cell (WBC) count of 2500/mL with 80% bands. The chest radiograph is shown below. Which of the following is the most likely diagnosis?",Congenital syphilis,general_faq
"In the gr'cii circuit, the arc! flow pressure is 100 mm Hg and the outward flow pressure is 10 mm Hg. Each of the parallel circuit has a resistance of 5 mm Hg/mL/min. Calculate the flow across the circuit:",45 mL,general_faq
Bochdalek hernia is related to -,Inguinal canal,general_faq
A 4 yr old partially immunized boy came to OPD with history of bouts of coughing. On staining the sputum sample an organism with bipolar staining was seen. Which among the following organism it would be?,Y. Pestis,general_faq
What is true in case of perforation of pars flaccida?,CSOM is a rare cause,general_faq
Adam's apple seen in boys is because of:,Hyoid bone,general_faq
Site of placement of tension free vaginal tapes in stress urinary incontinence,Ureterovaginal junction,general_faq
The amount of water absorbed in the intestine in a day is :,5 lit.,general_faq
Most impoant from of carbon-dioxide transpo in the blood,It is mostly transpoed as carboxy hemoglobin,general_faq
A patient presents to the emergency department with uniocular diplopia. Examination with oblique illumination shows golden crescent while examination with coaxial illumination show a dark crescent line. Which of the following is the most likely diagnosis –,Lenticonus,general_faq
Alkaptonuria an inherited metabolic disorder is due to the deficiency of,Homogentisate oxidase,general_faq
"All of the following statements about Lupus Anticoagulant are true, EXCEPT:",May present with an isolated prolongation ofAPTT,general_faq
"CT scan abdomen at the level of the twelfth thoracic veebra in a pt., Which structure provides an attachment of the suspensory muscle of the duodenum (ligament of Treitz)?",A,general_faq
Best method of treatment of ulner never abscess in case of leprosy is -,High does of steroid,nutrition_advice
Most common cause of sho stature is:,Constitutional,general_faq
Berkesonian bias in a case control study is a bias due to:,Presence of confounding factors,general_faq
Frozen section is/are used for all except,Enzyme,general_faq
Which of the following condition is associated with Osmotic diarrhoea?,Lactase deficiency,general_faq
WHO recommended regime for the treatment of Brucella infection is ?,Streptomycin with doxycycline,nutrition_advice
'Rosette cataract' is caused by:,Diabetes,general_faq
Cork screw esophagus in barium swallow is seen in:,Achalasia cardia,general_faq
Infant with cystic fibrosis (CF) are likely to develop,Meconium ileus,general_faq
The stabbing nature of pain in trigeminal neuralgia mimics pain caused by,A cracked tooth,symptoms_diagnosis
Which of the following indicates radiograph contrast induced nephropathy?,Increased creatinine levels,general_faq
"In postductal coarctation of aoa, collaterals may be formed by all of the following, except",Veebral aery,general_faq
Which of the following is not a true association of thymoma ?,Myasthenia gravis may be seen,general_faq
Which of the following statements about the pathology in Alzheimer's disease is not true:,Neuritic Plaques are formed of amyloid protein,general_faq
Senescent RBC's are mainly attacked in-,Vivax malaria,general_faq
"In depression, there is deficiency of :",5–HT,general_faq
Which of the following is spared in modified radical mastectomy (MRM)?,Pectoralis major,general_faq
Painless effusion in congenital syphilis is called,Clutton joints,symptoms_diagnosis
Normal adult person's blood contains:,40% neutrophils,general_faq
"Port wine stain of the face, seizures, hemiparesis, intracranial calcification and glaucoma are features of?",Neurofibromatosis,nutrition_advice
Cis atracurium is better then atracurium because:-,Less histamine release,general_faq
Kanagawa's phenomenon is seen in ?,Pseudomonea aeuroginosa,general_faq
The following are attributes of hepatitis B infection except -,Establishes chronic infections in those infected as infants,general_faq
MMR. vaccination is given at-,Bih,general_faq
Which of the following has a normal level of alpha-fetoprotein value in serum?,Ovarian dysgerminoma,general_faq
Which bacteria acts by inhibiting protein synthesis-,Pseudomonas,general_faq
Which of the following inducing agent produces cardiac stability?,Etomidate,general_faq
Weight range of adrenal glands in most of cases of cushing's disease is -,4-11gm,general_faq
Which of the following aery is not a terminal branch of coeliac trunk ?,common hepatic aery,general_faq
Most reliable method of diagnosing pulmonary embolism is: September 2004,Plain skiagram,general_faq
One of the earliest symptoms of Vit. A deficiency is:,Nyctalopia,symptoms_diagnosis
How long after completion of root of primary tooth ; root of primary tooth start to resorb,1 year approx,general_faq
Chediak-Higashi syndrome is characterized by,Defects in phagolysosome function,general_faq
Safety valve mechanism is:,The anteroposterior increment in the maxilla at 14 years,general_faq
Which of the following drugs is useful in prophylaxis of motion sickness?,Hyoscine,medicine_info
Middle meningel vessel damage results in -,Subdural hemorrhage,general_faq
Most common mode of transmission of HIV world wide is -,Heterosexual,general_faq
Annexin V is associated with which of the following?,Necrosis,general_faq
Pilocarpine reduce the intraocular pressure in persons with closed angle glaucoma by:,Reducing aqueous humor secretion,general_faq
Black gun pow der composition -,Charcoal 60% + Potassium nitrate 20% + sulphur 20%,general_faq
Ultrasound scanning of a fetus shows asymmetric growth retardation. It may be associated with the following pathology:,Anencephaly,general_faq
Which of the following is not a heterophile reaction?,Weil Felix test,general_faq
Tumor commonly seen in the area marked below,Insulinoma,general_faq
Most of the incidentalomas are,Non-functioning adenoma,general_faq
A patient presented with neck swelling. Cytology showed showed parafollicular cells along with clusters of plasmacytoid and few spindle shaped cells. What investigation should be done to follow up the patient?,Calcitonin,general_faq
Treatment of choice of small preputial Penile carcinoma is,Total Penectomy,nutrition_advice
"All are impoant laboratory features of hereditary spherocytosis, EXCEPT:",Reduced MCHC,nutrition_advice
All are transmitted by blood except aEUR',Parvovirus B-19,general_faq
Drug of choice for treatment of epiglottitis is,Ceftriaxone,medicine_info
APRV stands for:,Adult pressure release ventilation,general_faq
Which of the following is an ocular emergency ?,CRAO,general_faq
Most sensitive diagnosis test for ectopic pregnancy,Transvaginal USG,general_faq
Maternal mortality rate (MMR) is defined as - Number of maternal deaths per,1000 live births,nutrition_advice
A 10-mm calculus in the right lower ureter associated with proximal hydroureteronephrosis is best treated with:,Extracorporeal shockwave lithotripsy,nutrition_advice
Mother to child transmission of HIV -,25%,general_faq
False statement regarding xenon is_____,Rapid induction and emergence,general_faq
Androgenic alopecia in female is caused by:,Myxedema,general_faq
True about Burkitt's lymphoma are:,Associated with t(14:8),general_faq
Singers Alkali denaturation test is done with :,Maternal Hb,general_faq
"NOT a feature of Atrial Septal defect among the
following",Complications include Left Atrial hypertrophy,nutrition_advice
Which of the following drug causes Pseudotumour cerebri -,Sparfloxacin,medicine_info
Last taste sensation discovered is-,Umami,general_faq
All can cause peripheral neuropathy except,Uraemia,general_faq
Estimation of serum levels is impoant for which of the following drug: September 2009,Haloperidol,medicine_info
Curie is the unit for –,Radiation emitted,general_faq
Linitus plastic is the type of -,Gall bladder cancer,general_faq
". In the fed state, major fate of Glucose 6-PO4 in tissues is :",Storage as Fructose,general_faq
The CAT in pediatric dentistry is,Caries Activity Test,general_faq
Which of the following disease shows autosomal dominant pattern of inheritance?,Best's disease,general_faq
Non-absorption of fat-soluble vitamins is due to,Steatorrhoea,nutrition_advice
Speed of rabies virus progress in axon is,100 mm/day,general_faq
A child makes tower of 4 cubes at –,1 year,general_faq
A 20 year old patient presented with early pregnancy for Medical termination of Pregnancy (MTP) in day care facility. What will be the anaesthetic induction agent of choice ?,Thiopentone,general_faq
Precocious puberty in girl age limit -,8 year,general_faq
Longest acting cephalosporin:,Ceftriaxone,general_faq
"A patient presents with Ahritis, hyperpigmentation of skin and hypogonadism, likely diagnosis is.",Hemochromatosis,general_faq
Which among the following is common cause for transverse lie,Prolonged labor,general_faq
Habitat of hookworm is -,Jejunum,general_faq
What is the percentage of patients with disseminated discoid lupus erythematosus who develop SLE?,2%,general_faq
Pineal gland forms ?,Floor of third ventricle,general_faq
Stage of contraction of family stas at -,Marriage,general_faq
"A child presents with ""freckles"" all over his body, including the buccal mucosa, lips, palms, soles, and skin not exposed to sun. Which of the following additional findings would most likely be present?",Colonic polyps,general_faq
All the above loud S1 caused by,Calcified Valve,general_faq
Autism is characterised by all EXCEPT,Motor abnormalities,general_faq
